cargo;inscricao;Q1;NFDiscur
AN27;1002378;12,000;12,000
AN27;1002183;11,000;11,000
AN27;1000385;21,000;21,000
AN27;1001410;10,000;10,000
AN27;1009984;8,000;8,000
AN27;1001631;1,000;1,000
AN27;1001355;15,000;15,000
AN27;1005386;3,000;3,000
AN27;1004309;9,000;9,000
AN28;1008516;13,000;13,000
AN28;1003383;15,000;15,000
AN28;1000608;15,000;15,000
AN28;1005137;10,000;10,000
AN28;1013986;15,000;15,000
AN28;1001387;11,000;11,000
AN28;1003362;13,000;13,000
AN28;1013981;17,000;17,000
AN28;1008066;15,000;15,000
AN28;1013696;3,000;3,000
AN28;1000344;20,000;20,000
AN28;1008843;11,000;11,000
AN28;1008285;8,000;8,000
AN28;1002155;11,000;11,000
AN28;1000627;9,000;9,000
AN29;1000829;19,000;19,000
AN29;1006007;23,000;23,000
AN29;1005824;17,000;17,000
AN29;1002748;22,000;22,000
AN29;1011935;6,000;6,000
AN29;1002724;2,000;2,000
AN29;1007546;3,000;3,000
AN29;1003200;19,000;19,000
AN29;1007234;7,000;7,000
AN29;1001898;5,000;5,000
AN29;1001245;15,000;15,000
AN29;1000110;7,000;7,000
AN29;1007296;6,000;6,000
AN29;1014610;13,000;13,000
AN29;1002758;1,000;1,000
AN30;1005499;18,000;18,000
AN30;1000859;16,000;16,000
AN30;1013872;15,000;15,000
AN30;1011304;17,000;17,000
AN30;1011421;10,000;10,000
AN30;1012506;9,000;9,000
AN30;1009279;9,000;9,000
AN30;1004053;16,000;16,000
AN30;1002737;11,000;11,000
AN30;1012523;9,000;9,000
AN31;1002614;6,000;6,000
AN31;1000721;22,000;22,000
AN31;1007091;12,000;12,000
AN31;1000631;15,000;15,000
AN31;1001583;15,000;15,000
AN31;1009836;17,000;17,000
AN31;1014153;17,000;17,000
AN31;1009105;1,500;1,500
AN31;1012423;9,000;9,000
AN32;1010632;9,000;9,000
AN32;1001338;15,000;15,000
AN32;1007819;20,000;20,000
AN32;1000618;11,000;11,000
AN32;1005424;15,000;15,000
AN32;1008602;10,000;10,000
AN32;1008928;16,000;16,000
AN32;1010181;20,000;20,000
AN32;1001423;6,500;6,500
AN32;1014365;16,000;16,000
AN32;1000562;15,000;15,000
AN32;1013795;15,000;15,000
AN33;1008064;15,000;15,000
AN33;1004315;10,000;10,000
AN33;1000178;18,000;18,000
AN33;1001616;13,000;13,000
AN33;1000998;17,000;17,000
AN33;1005454;15,000;15,000
AN33;1013649;15,000;15,000
AN33;1000426;8,000;8,000
AN33;1001935;15,000;15,000
AN33;1002091;11,000;11,000
AN33;1009382;15,000;15,000
AN33;1003774;15,000;15,000
AN34;1001778;19,000;19,000
AN34;1014572;9,000;9,000
AN34;1003545;5,000;5,000
AN34;1010434;15,000;15,000
AN34;1002272;8,000;8,000
AN34;1003479;1,000;1,000
AN34;1010248;11,000;11,000
AN34;1000130;13,000;13,000
AN34;1008537;9,000;9,000
AN34;1006873;1,500;1,500
AN34;1001965;0,000;0,000
AN34;1001755;10,000;10,000
AN34;1006260;17,000;17,000
AN34;1003162;5,000;5,000
AN34;1011900;9,000;9,000
AN34;1001678;12,000;12,000
AN34;1010923;12,000;12,000
AN34;1011154;6,000;6,000
AN34;1011098;13,000;13,000
AN34;1009204;17,000;17,000
AN34;1006729;18,000;18,000
AN34;1001575;12,000;12,000
AN34;1011322;13,000;13,000
AN35;1002233;10,000;10,000
AN35;1000709;1,500;1,500
AN35;1011822;16,000;16,000
AN35;1010656;15,000;15,000
AN35;1000662;24,000;24,000
AN35;1010739;17,000;17,000
AN35;1010446;8,000;8,000
AN35;1011082;18,000;18,000
AN35;1007239;11,000;11,000
AN35;1004737;15,000;15,000
AN36;1003560;13,000;13,000
AN36;1013407;17,000;17,000
AN36;1002274;7,000;7,000
AN36;1013212;11,000;11,000
AN36;1000981;10,000;10,000
AN36;1005463;10,000;10,000
AN36;1005697;13,000;13,000
AN36;1003695;19,000;19,000
AN37;1001683;4,000;4,000
AN37;1005012;15,000;15,000
AN37;1001531;8,000;8,000
AN37;1002221;12,000;12,000
AN37;1006416;12,000;12,000
AN37;1011401;3,000;3,000
AN37;1001336;12,000;12,000
AN37;1003758;17,000;17,000
AN37;1002613;6,000;6,000
AN37;1009965;12,000;12,000
AN37;1003510;8,000;8,000
AN37;1010457;13,000;13,000
AN37;1000626;18,000;18,000
AN38;1001808;11,000;11,000
AN38;1000749;15,000;15,000
AN39;1011267;15,000;15,000
AN39;1013004;5,000;5,000
AN39;1013852;6,000;6,000
