cargo;inscricao;Q1;NFDiscur
AN02;1000826;18,000;18,000
AN02;1005175;11,500;11,500
AN02;1010224;15,000;15,000
AN02;1001618;21,000;21,000
AN02;1007072;10,500;10,500
AN02;1011395;19,500;19,500
AN02;1002472;4,500;4,500
AN02;1002020;15,000;15,000
AN02;1007647;18,000;18,000
AN02;1001582;17,000;17,000
AN02;1011208;10,500;0,500
AN02;1011492;15,500;15,500
AN02;1013920;16,500;16,500
AN02;1010208;15,000;15,000
AN02;1007282;11,000;11,000
AN02;1007236;11,500;11,500
AN02;1003564;19,000;19,000
AN02;1012905;18,000;18,000
AN02;1002549;16,000;16,000
AN02;1000835;9,500;9,500
AN02;1006601;8,500;8,500
AN02;1006446;15,000;15,000
AN02;1010110;17,000;17,000
AN02;1011824;9,500;9,500
AN02;1012849;1,000;1,000
AN02;1007670;12,500;12,500
AN02;1010885;12,500;12,500
AN02;1001630;7,500;7,500
AN02;1001854;25,000;25,000
AN02;1012954;17,000;17,000
AN02;1003801;9,500;9,500
AN02;1007704;9,500;9,500
AN02;1012663;4,000;4,000
AN02;1005064;10,500;10,500
AN02;1014429;15,000;15,000
AN02;1013203;12,500;12,500
AN02;1000313;3,500;3,500
AN02;1008760;15,000;15,000
AN02;1009351;21,500;21,500
AN02;1010410;9,500;9,500
AN02;1009754;17,000;17,000
AN02;1011193;17,500;17,500
AN02;1007868;7,000;7,000
AN02;1000061;15,000;15,000
AN02;1000642;15,000;15,000
AN02;1013394;11,500;11,500
AN02;1004810;11,500;11,500
AN02;1000309;15,000;15,000
AN02;1013124;11,000;11,000
AN02;1004755;6,500;6,500
AN02;1013599;10,500;10,500
AN02;1002741;12,000;12,000
AN02;1002164;3,500;3,500
AN02;1013663;11,000;11,000
AN02;1000647;12,000;12,000
AN02;1008470;24,500;24,500
AN02;1005917;2,000;2,000
AN02;1003304;9,000;9,000
AN02;1002046;3,500;3,500
AN02;1005933;13,000;13,000
AN02;1013440;5,000;5,000
AN02;1001885;12,500;12,500
AN02;1012128;19,000;19,000
AN02;1006739;4,500;4,500
AN02;1009082;15,000;15,000
AN02;1003225;15,000;15,000
AN02;1001992;12,000;12,000
AN02;1009819;13,000;13,000
AN02;1012967;15,000;15,000
AN02;1011976;18,500;18,500
AN02;1012475;15,000;15,000
AN02;1005885;17,000;17,000
AN02;1012437;0,000;0,000
AN02;1011146;15,500;15,500
AN02;1012401;20,000;20,000
AN02;1007930;16,000;16,000
AN02;1004646;27,000;27,000
AN02;1005810;2,000;2,000
AN02;1005080;16,500;16,500
AN02;1009438;8,000;8,000
AN02;1002171;19,000;19,000
AN02;1003047;15,000;15,000
AN02;1004359;17,500;17,500
AN02;1009158;13,500;13,500
AN02;1002455;26,000;26,000
AN02;1006205;15,000;15,000
AN02;1001719;6,500;6,500
AN02;1005220;11,500;11,500
AN02;1000340;3,500;3,500
AN02;1003782;19,500;19,500
AN02;1011371;2,000;2,000
AN02;1000229;23,000;23,000
AN02;1009886;16,500;16,500
AN02;1007561;16,000;16,000
AN02;1011999;2,000;2,000
AN02;1011803;22,000;22,000
AN02;1011282;7,500;7,500
AN02;1001379;20,000;20,000
AN02;1006713;9,000;9,000
AN02;1009454;9,500;9,500
AN02;1004862;12,500;12,500
AN02;1007539;15,000;15,000
AN02;1007280;18,500;18,500
AN02;1013701;6,500;6,500
AN02;1012543;8,500;8,500
AN02;1012701;17,000;17,000
AN02;1009414;8,500;8,500
AN02;1000511;8,500;8,500
AN02;1008806;11,000;11,000
AN02;1012744;22,000;22,000
AN02;1006206;13,000;13,000
AN02;1012891;15,000;15,000
AN02;1010645;11,500;11,500
AN02;1006807;11,000;11,000
AN02;1009136;16,500;16,500
AN02;1006934;15,500;15,500
AN02;1006168;10,500;10,500
AN02;1012509;11,000;11,000
AN02;1011389;15,500;15,500
AN02;1014593;10,500;10,500
AN02;1008590;22,000;22,000
AN02;1005730;15,000;15,000
AN02;1001140;12,500;12,500
AN02;1005785;18,000;18,000
AN02;1008893;1,000;1,000
AN02;1012005;5,000;5,000
AN02;1002975;22,000;22,000
AN02;1007743;11,500;11,500
AN02;1010177;10,500;10,500
AN02;1003696;15,000;15,000
AN02;1004076;7,500;7,500
AN02;1013426;18,000;18,000
AN02;1011866;15,000;15,000
AN02;1011165;16,000;16,000
AN02;1000054;11,500;11,500
AN02;1000089;10,000;10,000
AN02;1006763;19,500;19,500
AN03;1009090;15,500;15,500
AN03;1007471;15,000;15,000
AN03;1006727;9,500;9,500
AN03;1001468;7,500;7,500
AN03;1003133;15,000;15,000
AN03;1013723;8,500;8,500
AN03;1006457;12,500;12,500
AN03;1011498;15,000;15,000
AN03;1000049;22,000;22,000
AN03;1001888;8,500;8,500
AN03;1003175;13,000;13,000
AN03;1001288;15,000;15,000
AN03;1006435;22,000;22,000
AN03;1011101;9,000;9,000
AN03;1007039;19,000;19,000
AN03;1000248;17,000;17,000
AN03;1012869;12,000;12,000
AN03;1000598;16,000;16,000
AN03;1005781;11,500;11,500
AN03;1000942;21,000;21,000
AN03;1004335;16,000;16,000
AN03;1013262;0,000;0,000
AN03;1001444;0,000;0,000
AN03;1000576;18,000;18,000
AN03;1014079;11,000;11,000
AN03;1010273;9,000;9,000
AN03;1014252;10,500;10,500
AN03;1001760;15,000;15,000
AN03;1002413;10,500;10,500
AN03;1011203;11,000;11,000
AN03;1010357;24,500;24,500
AN03;1006806;15,000;15,000
AN03;1010611;3,000;3,000
AN03;1003756;7,000;7,000
AN03;1008073;12,000;12,000
AN03;1002684;11,500;11,500
AN03;1001467;11,500;11,500
AN03;1009575;12,500;12,500
AN03;1007862;17,000;17,000
AN03;1002369;11,500;11,500
AN03;1000401;21,000;21,000
AN03;1007740;10,500;10,500
AN03;1010334;6,000;6,000
AN03;1004569;11,000;11,000
AN03;1002860;6,500;6,500
AN03;1002044;20,000;20,000
AN03;1012876;6,000;6,000
AN03;1008929;17,000;17,000
AN03;1001479;2,000;2,000
AN03;1000758;16,000;16,000
AN03;1011240;15,000;15,000
AN03;1011131;4,500;4,500
AN03;1005779;9,500;9,500
AN03;1010265;9,000;9,000
AN03;1005873;12,000;12,000
AN03;1013088;5,000;5,000
AN03;1010352;8,000;8,000
AN03;1011807;16,000;16,000
AN03;1005737;11,500;11,500
AN03;1006284;10,500;10,500
AN03;1000247;15,000;15,000
AN03;1011269;4,500;4,500
AN04;1012534;23,000;23,000
AN04;1007358;26,000;26,000
AN04;1007941;12,000;12,000
AN04;1001375;13,000;13,000
AN04;1007919;21,500;21,500
AN04;1000975;10,000;10,000
AN04;1005653;24,000;24,000
AN04;1006107;10,000;10,000
AN04;1000821;12,500;12,500
AN04;1013048;15,500;15,500
AN04;1006980;17,000;17,000
AN04;1005048;5,000;5,000
AN04;1003687;19,000;19,000
AN04;1002237;8,000;8,000
AN04;1012883;3,000;3,000
AN04;1000183;11,500;11,500
AN04;1007325;6,000;6,000
AN04;1002682;16,000;16,000
AN04;1008014;9,500;9,500
